Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
Friends of ACTED,41 AMO 24Y,ACTED-HT-10-41 AMO 24Y,Massive Food Distributions - Surge 2,Emergency distributions of dry ratio of food to displaced people affected by the earthquake.,,,3/6/2010,3/31/2010,"$38,750",Food Security and Agriculture,,Food Aid,,Friends of ACTED,,World Food Program (WFP),," 96,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AMU 69Z,ACTED-HT-10-41 AMU 69Z,Camp Management in Informal Settlements # 1,To support Internally Displaced Persons living in two spontaneous settlements in Port-au-Prince in order to improve basic living conditions. Ensuring on-site coordination of all activities and services within the settlements of Ti Savane and Tapis Rouge in the Carrefour Feuilles neighborhood of Port-au-Prince.,,,3/22/2010,9/21/2010,"$302,726",Camp Coordination and Management,,Disaster Management,,Friends of ACTED,,International Organization for Migration (IOM),," 10,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ANE F35,ACTED-HT-10-41 ANE F35,Seed Distributions,"L’objectif de cette distribution ést de fournir des semences de maïs pour la saison de printemps aux agriculteurs de l’habitation de la Colline Deslandes, une zone non irriguée de la plaine de Léogâne ayant été touchée par le séisme du 12 janvier 2010.",,,4/26/2010,5/26/2010,$600,Food Security and Agriculture,,Agriculture,Livelihoods,Friends of ACTED,,Food and Agriculture Organization of the United Nations (FAO),," 2,725 ",,Affected population(s),Haiti,Ouest,Léogâne,Léogâne,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ANQ 15I,ACTED-HT-10-41 ANQ 15I,Camp Management in Informal Settlements # 2,"To ensure the management and coordinated delivery of services to IDPs within the spontaneous camp of Gérard Christophe Stadium of Léogâne, in the camp of Marché Chatuley and of Imol, in line with internationally recognized standards and guidelines. Ensuring the provision and maintenance of relevant facilities, the adequate zoning and spatial planning of the camps and the reduction of risks and disasters for the populations of the targeted settlements and for the direct neighbourhood community through Cash for Work schemes. Assist in the development of a camp closure and phase-out strategy in the first phase of the camp response, with the CCCM Cluster and the relevant partners and ensure it is adapted to specific camp.",,,5/10/2010,1/9/2011,"$734,204",Camp Coordination and Management,,Disaster Management,Disaster risk reduction (DRR),Friends of ACTED,,Emergency Response Relief Fund for Haiti (OCHA/ERRF),," 7,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Les Cayes,Léogâne,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ANV,ACTED-HT-10-41 ANV,Development of Traditional Poultry Production,"Objectif général : Améliorer les conditions de vie des foyers vulnérables des communautés rurales isolées du Haut Plateau Central
Objectif spécifique : Améliorer la sécurité alimentaire dans la zone d’intervention en promouvant les productions locales et les associations de femmes.",,,4/21/2010,10/31/2010,"$20,875",Food Security and Agriculture,,Agriculture,,Friends of ACTED,,United Nations Stabilization Mission in Haiti (MINUSTAH),, 800 ,,Vulnerable people/populations,Haiti,Centre,Hinche,Hinche,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AON 81Z,ACTED-HT-10-41 AON 81Z,Integrated Transitional Shelter Programme,"The proposed project aims to contribute to the restoration of adequate living conditions for earthquake-affected populations and support their early recovery.  More specifically, its aim is to provide safe transitional shelters to affected households in Greater Port-au-Prince, while reducing their vulnerability to future disasters and improving their standards of life. 
Expected Results:
1. To provide earthquake affected population with transitional shelter package that improves their living conditions.
2. To reduce communities and households’ vulnerability to natural hazards and increase their awareness of and preparedness to natural disasters. 
3. To increase knowledge, attitude and hygiene practices to contribute to the prevention of water and vector borne diseases.",,,7/1/2010,6/30/2011,"$5,914,737",Shelter and Non-Food Items,,Shelter and Housing,"Capacity building, Disaster risk reduction (DRR)",Friends of ACTED,,American Red Cross,," 12,500 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AOO 82Z,ACTED-HT-10-41 AOO 82Z,Rehabilitation of Drainage Canals (Pisto 1),"Objectif général : Contribuer à la réduction des maladies hydriques dans les 1ère et 2ème sections communales de la commune de Marchand-Dessalines.
Objectifs spécifiques : 
• Fournir un revenu d’urgence aux communautés vulnérables, suite à la période de soudure, de la zone de Pisto I et Perrembeau
• Prévenir l’impact d’inondations récurrentes par le curage et la construction de digues de protection le long des drains, collecteurs et canaux d’irrigation au niveau des zones critiques identifiées",,,5/7/2010,8/7/2010,"$51,031",Early Recovery,,Water Sanitation and Hygiene,Disaster risk reduction (DRR),Friends of ACTED,,United Nations Stabilization Mission in Haiti (MINUSTAH),, 750 ,,Vulnerable people/populations,Haiti,Artibonite,Saint-Marc,Saint-Marc,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AOP 82Z,ACTED-HT-10-41 AOP 82Z,Rehabilitation of Drainage Canals (Ti Bera),"Objectif général : Contribuer à la réduction des maladies hydriques dans les 1ère et 2ème sections communales de la commune de Marchand-Dessalines.
Objectifs spécifiques : 
• Fournir un revenu d’urgence aux communautés vulnérables, suite à la période de soudure, de la zone de Perrembeau et Ti Bera
• Prévenir l’impact d’inondations récurrentes par le curage et la construction de digues de protection le long des drains, collecteurs et canaux d’irrigation au niveau des zones critiques identifiées",,,5/7/2010,8/7/2010,"$26,031",Early Recovery,,Water Sanitation and Hygiene,Disaster risk reduction (DRR),Friends of ACTED,,United Nations Stabilization Mission in Haiti (MINUSTAH),, 750 ,,Vulnerable people/populations,Haiti,Artibonite,Saint-Marc,Saint-Marc,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 APO 31W,ACTED-HT-10-41 APO 31W,Emergency Food Distributions,Emergency distributions of dry ratio of food to displaced people affected by the earthquake.,,,2/1/2010,3/31/2010,"$47,521",Food Security and Agriculture,,Food Aid,,Friends of ACTED,,World Food Program (WFP),," 69,735 ",,Internally displaced persons (IDPs),Haiti,Artibonite,Saint-Marc,Saint-Marc,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 APP 87Z,ACTED-HT-10-41 APP 87Z,Distribution of Mosquito Nets (in-kind donations to ACTED),"Surge distribution of mosquito nets to prevent vector-borne diseases, particularly malaria",,,7/9/2010,9/30/2010,,Health,,Health,,Friends of ACTED,,MENTOR Initiative,," 70,500 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 APT 32W,ACTED-HT-10-41 APT 32W,Pre-positioning of 55.30 Metric Tonnes (MT) of High Energy Biscuits,"La présente proposition vise à prépositionner dans la ville de Saint-Marc 55,3 tonnes de biscuits destinés à des distributions en cas d’urgence cyclonique. Ces vivres seraient ainsi, suivant l’évaluation des besoins, mis à la disposition de la communauté humanitaire pour intervention rapide auprès des populations affectées. ACTED a par ailleurs les moyens logistiques et humains de réaliser des distributions d’urgence.",,,7/25/2010,12/24/2010,"$4,562",Food Security and Agriculture,,Food Aid,,Friends of ACTED,,World Food Program (WFP),,  ,,Affected population(s),Haiti,Artibonite,Saint-Marc,Saint-Marc,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 APX 09N,ACTED-HT-10-41 APX 09N,Contingency - Stockpiling WASH NFIs and Support to Emergency Distributions,Prepositioning of WASH items and support for rapid response in case of humanitarian needs in the Lower and Central Artibonite Region.,,,7/7/2010,12/31/2010,"$10,000",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Friends of ACTED,,UNICEF,,  ,,Affected population(s),Haiti,Artibonite,Saint-Marc,Saint-Marc,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AQN 11N,ACTED-HT-10-41 AQN 11N,Distribution of Hygiene Kits (in-kind donatons to ACTED),Distribution of hygiene kits to Internally displaced persons (IDPs),,,9/15/2010,10/31/2010,"$4,932",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Friends of ACTED,,UNICEF,," 2,055 ",,Internally displaced persons (IDPs),Haiti,Sud-Est,Jacmel,Jacmel,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ARR 13 N,ACTED-HT-10-41 ARR 13N,Provision of WASH Emergency Relief and Mitigation Measures to Cholera Outbreak in Artibonite,"Result 1: DINEPA and MSPP are supported for the coordination of the WASH response (WASH cluster  support)

Result 2:   300,000 Population (60,000 household) living in areas at risks of cholera outbreak has access to clean drinking water 

Result 3:   300,000 Population (60,000 household) living in area at risks of cholera infection is aware of appropriate hygienic behaviors

Result 4:   Rural and remote health centers and schools are supported by the provision of mitigation kits (ORS, aquatabs), have access to clean water and sanitation facilities",,,10/27/2010,11/26/2010,"$19,998",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Friends of ACTED,,UNICEF,," 300,000 ",,Cholera affected population,Haiti,Artibonite,,,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,20-Dec-10,,
Friends of ACTED,41 ARS AM,ACTED-HT-10-41 ARS AM,Contributing to the return of earthquake affected populations through support to the Safer Shelter Strategy,"The  intervention aims at providing retrofitting and repairing works for 340 houses classified under “green” and “yellow” category by MTPTC / UNOPS, contributing to the return of an estimated 340 displaced earthquake-affected households (1,700 individuals) (metropolitan area, communes of Léogâne, Gressier, Grand Goave); and to carry out a Structural Damage Assessment of 12,000 structures.",,,10/1/2010,9/30/2011,"$1,293,305",Early Recovery,,Shelter and Housing,,Friends of ACTED,,UK Department for International Development (DFID),," 1,700 ",,Internally displaced persons (IDPs),Haiti,Ouest,Léogâne,Léogâne,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,20-Dec-10,,
Friends of ACTED,41 ARV 98Z,ACTED-HT-10-41 ARV 98Z,Construction of Transitional Shelters,"En apportant une réponse ciblée et adaptée aux besoins des populations les plus vulnérables à travers l’installation de 30 abris transitionnels dans la Commune de Gresier, ACTED entend réduire les risques auxquels sont soumises ces 30 familles et leur permettre de reprendre une vie quotidienne normale.",,,10/29/2010,12/31/2010,"$73,800",Shelter and Non-Food Items,,Shelter and Housing,,Friends of ACTED,,CODEGAZ,, 150 ,,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Gressier,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,20-Dec-10,,
Friends of ACTED,41 ARY KB,ACTED-HT-10-41 ARY KB,In-Kind Donation to ACTED of Water Filters (PoinOne Sawyer),Distribution of water filters - cholera prevention,,,10/1/2010,4/21/2011,"$4,500",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Friends of ACTED,,Laboratoires Farmatrix,, 450 ,,Cholera affected population,Haiti,Artibonite,,,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,20-Dec-10,,
